;titulo;region;tipo inmueble;proposito;direccion;orientacion;antiguedad;m2 totales;m2_utiles;terraza;m2_terraza;ambientes;habitaciones;banos;estacionamiento;bodega;piso de apartamento;cantidad de pisos edificio;apartamentos por piso;gastos comunes;precio;precio por m2;latitud;longitud;url
0;Edificio Tarapaca- Vista Poniente Piso 15;santiago-metropolitana;departamento;arriendo;Tarapaca 890, Bulnes, Santiago, RM (Metropolitana);Poniente;0;32,78;28,78;Si;4;1;0;1;0;0;15;27;17;0;310000;9456,985967;-33,44689;-70,64812;https://www.portalinmobiliario.com/MLC-1524654026-edificio-tarapaca-vista-poniente-piso-15-_JM#position=1&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
1;Edificio José Miguel Carrera- Vista Oriente Piso 12;santiago-metropolitana;departamento;arriendo;José Miguel Carrera 321, Ejército - Toesca, Santiago, RM (Metropolitana);Oriente;0;42;42;0;0;3;2;1;1;1;12;14;8;0;400000;9523,809524;-33,45163;-70,66318;https://www.portalinmobiliario.com/MLC-1424661144-edificio-jose-miguel-carrera-vista-oriente-piso-12-_JM#position=2&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
2;Edificio Carmen- Vista Sur Piso 4;santiago-metropolitana;departamento;arriendo;Carmen 121, Santa Isabel, Santiago, RM (Metropolitana);Sur;0;34;32;Si;2;2;1;1;0;1;4;9;22;0;360000;10588,23529;-33,44493;-70,64289;https://www.portalinmobiliario.com/MLC-1372473005-edificio-carmen-vista-sur-piso-4-_JM#position=3&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
3;Edificio Matucana- Vista Poniente Piso 7;santiago-metropolitana;departamento;arriendo;Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana);Poniente;0;39,42;36,25;Si;3,17;2;1;1;0;0;7;10;15;0;325000;8244,545916;-33,44905;-70,67915;https://www.portalinmobiliario.com/MLC-1355105442-edificio-matucana-vista-poniente-piso-7-_JM#position=4&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
4;Edificio Matucana- Vista Oriente Piso 8;santiago-metropolitana;departamento;arriendo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;426000;0;28,61141;77,2183;https://www.portalinmobiliario.com/MLC-1443304248-edificio-matucana-vista-oriente-piso-8-_JM#position=5&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
5;Edificio San Francisco- Vista Oriente Piso 25;santiago-metropolitana;departamento;arriendo;San Francisco 294, Bulnes, Santiago, RM (Metropolitana);Oriente;0;26;26;0;0;2;1;1;0;0;25;25;23;0;268000;10307,69231;-33,44921;-70,69368;https://www.portalinmobiliario.com/MLC-1527734496-edificio-san-francisco-vista-oriente-piso-25-_JM#position=6&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
6;Edificio Edificio Cima- Vista Sur Piso 5;santiago-metropolitana;departamento;arriendo;Vicuña Mackenna 327, Santa Isabel, Santiago, RM (Metropolitana);Sur;0;32,67;28,19;Si;4,48;2;1;1;0;0;5;18;26;0;355000;10866,23814;-33,44582;-70,63281;https://www.portalinmobiliario.com/MLC-1369686247-edificio-edificio-cima-vista-sur-piso-5-_JM#position=7&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
7;Edificio Carmen- Vista Norte Piso 24;santiago-metropolitana;departamento;arriendo;Carmen 110, Santa Isabel, Santiago, RM (Metropolitana);Norte;0;27;27;0;0;2;1;1;0;1;24;25;22;0;349000;12925,92593;-33,44458;-70,64297;https://www.portalinmobiliario.com/MLC-1527812436-edificio-carmen-vista-norte-piso-24-_JM#position=8&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
8;Edificio Santiago Concha- Vista Poniente Piso 8;santiago-metropolitana;departamento;arriendo;Santiago Concha 1148, Bogotá - Sierra Bella, Santiago, RM (Metropolitana);Poniente;0;27;27;0;0;2;1;1;0;0;8;25;14;0;332000;12296,2963;-33,45759;-70,63679;https://www.portalinmobiliario.com/MLC-1527721522-edificio-santiago-concha-vista-poniente-piso-8-_JM#position=9&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
9;Edificio Nataniel Cox- Vista Norte Piso 3;santiago-metropolitana;departamento;arriendo;Nataniel Cox 683, Parque Almagro, Santiago, RM (Metropolitana);Norte;0;38,16;35,17;Si;2,99;2;1;1;0;0;3;17;12;0;345000;9040,880503;-33,45395;-70,6526;https://www.portalinmobiliario.com/MLC-1527773604-edificio-nataniel-cox-vista-norte-piso-3-_JM#position=10&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
10;Edificio Matucana- Vista Sur Piso 4;santiago-metropolitana;departamento;arriendo;Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana);Sur;0;35,74;32,77;Si;2,97;2;1;1;0;0;4;10;15;0;316000;8841,634024;-33,44905;-70,67915;https://www.portalinmobiliario.com/MLC-1489649520-edificio-matucana-vista-sur-piso-4-_JM#position=11&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
11;Edificio Matucana- Vista Poniente Piso 5;santiago-metropolitana;departamento;arriendo;Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana);Poniente;0;36,23;33,22;Si;3,01;2;1;1;0;0;5;10;15;0;318000;8777,256417;-33,44905;-70,67915;https://www.portalinmobiliario.com/MLC-1354860187-edificio-matucana-vista-poniente-piso-5-_JM#position=12&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
12;Edificio Gral. Bulnes- Vista Surponiente Piso 1;santiago-metropolitana;departamento;arriendo;Gral. Bulnes 259, Barrio Yungay, Santiago, RM (Metropolitana);Surponiente;0;56;46;Si;10;3;2;2;1;1;1;5;48;0;635000;11339,28571;-33,44216;-70,66998;https://www.portalinmobiliario.com/MLC-1438141848-edificio-gral-bulnes-vista-surponiente-piso-1-_JM#position=13&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
13;Edificio Argomedo- Vista Poniente Piso 5;santiago-metropolitana;departamento;arriendo;Argomedo 382, Santa Isabel, Santiago, RM (Metropolitana);Poniente;0;28;26;Si;2;2;1;1;1;1;5;10;15;0;430000;15357,14286;-33,4502;-70,63841;https://www.portalinmobiliario.com/MLC-1430196816-edificio-argomedo-vista-poniente-piso-5-_JM#position=14&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
14;Edificio Gral. Bulnes- Vista Oriente Piso 5;santiago-metropolitana;departamento;arriendo;Gral. Bulnes 259, Barrio Yungay, Santiago, RM (Metropolitana);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;425000;0;-33,44216;-70,66998;https://www.portalinmobiliario.com/MLC-1430220158-edificio-gral-bulnes-vista-oriente-piso-5-_JM#position=15&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
15;Edificio General Jofré- Vista Sur Piso 15;santiago-metropolitana;departamento;arriendo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300000;0;28,61141;77,2183;https://www.portalinmobiliario.com/MLC-1471013080-edificio-general-jofre-vista-sur-piso-15-_JM#position=16&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
16;Edificio Eyzaguirre- Vista Sur Piso 4;santiago-metropolitana;departamento;arriendo;Eyzaguirre 771, San Diego, Santiago, RM (Metropolitana);Sur;0;37,07;34,58;Si;2,49;2;1;1;0;0;4;12;37;0;348000;9387,644996;-33,45194;-70,64594;https://www.portalinmobiliario.com/MLC-1513807638-edificio-eyzaguirre-vista-sur-piso-4-_JM#position=17&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
17;Edificio Chiloé- Vista Norte Piso 4;santiago-metropolitana;departamento;arriendo;Chiloé 1951, Franklin - Biobío, Santiago, RM (Metropolitana);Norte;0;48,98;42,77;Si;6,21;3;2;2;0;0;4;5;55;0;390000;7962,433646;-33,47113;-70,64531;https://www.portalinmobiliario.com/MLC-1489672434-edificio-chiloe-vista-norte-piso-4-_JM#position=18&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
18;Edificio Lira- Vista Sur Piso 7;santiago-metropolitana;departamento;arriendo;Lira 195, Santa Isabel, Santiago, RM (Metropolitana);Sur;0;32;30;Si;2;2;1;1;0;0;7;9;16;0;328000;10250;-33,44793;-70,63429;https://www.portalinmobiliario.com/MLC-1489672416-edificio-lira-vista-sur-piso-7-_JM#position=19&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
19;Edificio Nataniel Cox- Vista Oriente Piso 5;santiago-metropolitana;departamento;arriendo;Nataniel Cox 683, Parque Almagro, Santiago, RM (Metropolitana);Oriente;0;34,16;31,68;Si;2,48;2;1;1;0;0;5;17;12;0;310000;9074,941452;-33,45395;-70,6526;https://www.portalinmobiliario.com/MLC-1519427666-edificio-nataniel-cox-vista-oriente-piso-5-_JM#position=20&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
20;Edificio Sgto. Aldea- Vista Norte Piso 6;santiago-metropolitana;departamento;arriendo;Sgto. Aldea 1156, Parque O'Higgins, Santiago, RM (Metropolitana);Norte;0;34;32;Si;2;3;2;1;1;1;6;26;15;0;420000;12352,94118;-33,46908;-70,66034;https://www.portalinmobiliario.com/MLC-1503387266-edificio-sgto-aldea-vista-norte-piso-6-_JM#position=21&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
21;Edificio San Francisco- Vista Norte Piso 23;santiago-metropolitana;departamento;arriendo;San Francisco 294, Bulnes, Santiago, RM (Metropolitana);Norte;0;26;26;0;0;2;1;1;0;1;23;25;23;0;270000;10384,61538;-33,44921;-70,69368;https://www.portalinmobiliario.com/MLC-1370904667-edificio-san-francisco-vista-norte-piso-23-_JM#position=22&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
22;Edificio Av. Sta. Rosa- Vista Oriente Piso 16;santiago-metropolitana;departamento;arriendo;Av. Sta. Rosa 991, San Diego, Santiago, RM (Metropolitana);Oriente;0;51;50;Si;1;3;2;2;1;1;16;23;28;0;540000;10588,23529;-33,45714;-70,64341;https://www.portalinmobiliario.com/MLC-1503995502-edificio-av-sta-rosa-vista-oriente-piso-16-_JM#position=23&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
23;Edificio Matucana- Vista Poniente Piso 7;santiago-metropolitana;departamento;arriendo;Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana);Poniente;0;53,36;48,94;Si;4,42;3;2;2;0;0;7;10;15;0;428000;8020,989505;-33,44905;-70,67915;https://www.portalinmobiliario.com/MLC-1370248241-edificio-matucana-vista-poniente-piso-7-_JM#position=24&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
24;Edificio Argomedo- Vista Norte Piso 4;santiago-metropolitana;departamento;arriendo;Argomedo 65, Santa Isabel, Santiago, RM (Metropolitana);Norte;0;53,61;51;Si;2,61;3;2;2;1;1;4;26;11;0;460000;8580,488715;-33,44909;-70,63286;https://www.portalinmobiliario.com/MLC-1514422878-edificio-argomedo-vista-norte-piso-4-_JM#position=25&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
25;Edificio Lord Cochrane- Vista Sur Piso 8;santiago-metropolitana;departamento;arriendo;Lord Cochrane 173, Bulnes, Santiago, RM (Metropolitana);Sur;0;45,63;40,28;Si;5,35;2;1;1;0;0;8;23;11;0;315000;6903,353057;-33,44838;-70,65491;https://www.portalinmobiliario.com/MLC-1369539985-edificio-lord-cochrane-vista-sur-piso-8-_JM#position=26&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
26;Edificio Coquimbo- Vista Sur Piso 3;santiago-metropolitana;departamento;arriendo;Coquimbo 14, Barrio Diez de Julio, Santiago, RM (Metropolitana);Sur;0;29;29;0;0;2;1;1;0;0;3;17;12;0;300000;10344,82759;-33,45718;-70,64837;https://www.portalinmobiliario.com/MLC-1370280235-edificio-coquimbo-vista-sur-piso-3-_JM#position=27&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
27;Edificio Av. España- Vista Sur Piso 6;santiago-metropolitana;departamento;arriendo;Av. España 471, Barrio República, Santiago, RM (Metropolitana);Sur;0;51,26;48,84;Si;2,42;3;2;2;1;1;6;9;18;0;460000;8973,858759;-33,45462;-70,66908;https://www.portalinmobiliario.com/MLC-1370294851-edificio-av-espana-vista-sur-piso-6-_JM#position=28&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
28;Edificio San Diego- Vista Sur Piso 13;santiago-metropolitana;departamento;arriendo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;340000;0;28,61141;77,2183;https://www.portalinmobiliario.com/MLC-1513839612-edificio-san-diego-vista-sur-piso-13-_JM#position=29&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
29;Edificio Av. Sta. Rosa- Vista Nororiente Piso 17;santiago-metropolitana;departamento;arriendo;Av. Sta. Rosa 991, San Diego, Santiago, RM (Metropolitana);Nororiente;0;29,69;29,69;0;0;2;1;1;0;1;17;23;28;0;350000;11788,48097;-33,45714;-70,64341;https://www.portalinmobiliario.com/MLC-1504008070-edificio-av-sta-rosa-vista-nororiente-piso-17-_JM#position=30&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
30;Edificio Argomedo- Vista Norte Piso 13;santiago-metropolitana;departamento;arriendo;Argomedo 321, Santa Isabel, Santiago, RM (Metropolitana);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;420000;0;-33,44837;-70,63593;https://www.portalinmobiliario.com/MLC-1503387262-edificio-argomedo-vista-norte-piso-13-_JM#position=31&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
31;Santa Isabel 55 -  Departamento 1d1b, Santiago;santiago-metropolitana;departamento;arriendo;Santa Isabel 1 - 300, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana);P;12 años;27;27;0;0;0;1;1;0;0;2;22;13;0;361000;13370,37037;-33,44825;-70,63546;https://www.portalinmobiliario.com/MLC-1479548660-santa-isabel-55-departamento-1d1b-santiago-_JM#position=32&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
32;Edificio Chiloé- Vista Poniente Piso 5;santiago-metropolitana;departamento;arriendo;Chiloé 1951, Franklin - Biobío, Santiago, RM (Metropolitana);Poniente;0;40,29;36,46;Si;3,83;2;1;1;0;0;5;5;55;0;335000;8314,718292;-33,47113;-70,64531;https://www.portalinmobiliario.com/MLC-1368958393-edificio-chiloe-vista-poniente-piso-5-_JM#position=33&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
33;Santa Elena 2120 -  Departamento Studio, Santiago;santiago-metropolitana;departamento;arriendo;Santa Elena 2100 - 2400, San Joaquín, Chile, Santiago, RM (Metropolitana);O;5 años;25;25;Si;25;0;0;1;0;0;2;20;18;0;309000;12360;-33,47358;-70,62613;https://www.portalinmobiliario.com/MLC-1424592880-santa-elena-2120-departamento-studio-santiago-_JM#position=34&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
34;Edificio Eyzaguirre- Vista Sur Piso 5;santiago-metropolitana;departamento;arriendo;Eyzaguirre 771, San Diego, Santiago, RM (Metropolitana);Sur;0;37,05;34,58;Si;2,47;2;1;1;0;0;5;12;37;0;325000;8771,929825;-33,45194;-70,64594;https://www.portalinmobiliario.com/MLC-1369011473-edificio-eyzaguirre-vista-sur-piso-5-_JM#position=35&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
35;Edificio Matucana- Vista Poniente Piso 3;santiago-metropolitana;departamento;arriendo;Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana);Poniente;0;33,22;33,22;0;0;2;1;1;0;0;3;10;15;0;311000;9361,830223;-33,44905;-70,67915;https://www.portalinmobiliario.com/MLC-1368438707-edificio-matucana-vista-poniente-piso-3-_JM#position=36&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
36;Edificio Matucana- Vista Oriente Piso 3;santiago-metropolitana;departamento;arriendo;Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana);Oriente;0;52,21;47,79;Si;4,42;3;2;2;0;0;3;10;15;0;421000;8063,589351;-33,44905;-70,67915;https://www.portalinmobiliario.com/MLC-1368991715-edificio-matucana-vista-oriente-piso-3-_JM#position=37&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
37;Carmen 368 -  Departamento 1d1b, Santiago;santiago-metropolitana;departamento;arriendo;Carmen 300 - 600, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana);S;7 años;36;36;0;0;0;1;1;0;0;2;10;20;0;339000;9416,666667;-33,44254;-70,64363;https://www.portalinmobiliario.com/MLC-1451863368-carmen-368-departamento-1d1b-santiago-_JM#position=38&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
38;Edificio Eyzaguirre- Vista Oriente Piso 9;santiago-metropolitana;departamento;arriendo;Eyzaguirre 771, San Diego, Santiago, RM (Metropolitana);Oriente;0;24,95;24,95;0;0;1;0;1;0;0;9;12;37;0;290000;11623,24649;-33,45194;-70,64594;https://www.portalinmobiliario.com/MLC-1490247258-edificio-eyzaguirre-vista-oriente-piso-9-_JM#position=39&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
39;Edificio Eyzaguirre- Vista Sur Piso 10;santiago-metropolitana;departamento;arriendo;0;Sur;0;34,8;32,31;Si;2,49;2;1;1;0;0;10;12;37;0;330000;9482,758621;28,61141;77,2183;https://www.portalinmobiliario.com/MLC-1369059583-edificio-eyzaguirre-vista-sur-piso-10-_JM#position=40&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
40;Edificio Gral Gana- Vista Sur Piso 12;santiago-metropolitana;departamento;arriendo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;310000;0;28,61141;77,2183;https://www.portalinmobiliario.com/MLC-1489660704-edificio-gral-gana-vista-sur-piso-12-_JM#position=41&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
41;Sara Del Campo 535 - Departamento 2d2b(3c), Santiago;santiago-metropolitana;departamento;arriendo;Sara Del Campo 300 - 600, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana);P;10 años;46;46;Si;1;0;2;2;0;0;2;24;20;0;392000;8521,73913;-33,44452;-70,64357;https://www.portalinmobiliario.com/MLC-1509846266-sara-del-campo-535-departamento-2d2b3c-santiago-_JM#position=42&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
42;Santa Rosa 237 -  Departamento 1d1b, Santiago;santiago-metropolitana;departamento;arriendo;Avenida Santa Rosa 1 - 300, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana);SP;9 años;34;34;0;0;0;1;1;0;0;2;21;14;0;304000;8941,176471;-33,44804;-70,64487;https://www.portalinmobiliario.com/MLC-1363604911-santa-rosa-237-departamento-1d1b-santiago-_JM#position=43&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
43;Maule 150 -  Departamento 1d1b, Santiago;santiago-metropolitana;departamento;arriendo;Maule 1 - 300, Santiago, Chile, Bogotá - Sierra Bella, Santiago, RM (Metropolitana);SO;7 años;30;30;0;0;0;1;1;0;0;2;15;11;0;334000;11133,33333;-33,46959;-70,62843;https://www.portalinmobiliario.com/MLC-1451876926-maule-150-departamento-1d1b-santiago-_JM#position=44&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
44;Morandé 924 -  Departamento 1d1b, Santiago;santiago-metropolitana;departamento;arriendo;Morandé 900 - 1200, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana);SO;4 años;33;33;0;0;0;1;1;0;0;2;19;20;0;320000;9696,969697;-33,43334;-70,65462;https://www.portalinmobiliario.com/MLC-1479558458-morande-924-departamento-1d1b-santiago-_JM#position=45&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
45;Santa Rosa 237 -  Departamento 2d2b(4c), Santiago;santiago-metropolitana;departamento;arriendo;Avenida Santa Rosa 1 - 300, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana);SO;9 años;46;46;0;0;0;2;2;0;0;2;21;15;0;404000;8782,608696;-33,44804;-70,64487;https://www.portalinmobiliario.com/MLC-1401462144-santa-rosa-237-departamento-2d2b4c-santiago-_JM#position=46&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
46;Morandé 924 -  Departamento Studio, Santiago;santiago-metropolitana;departamento;arriendo;Morandé 900 - 1200, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana);SP;4 años;27;27;0;0;0;1;1;0;0;2;19;20;0;289000;10703,7037;-33,43334;-70,65462;https://www.portalinmobiliario.com/MLC-1479544760-morande-924-departamento-studio-santiago-_JM#position=47&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
47;Santa Rosa 237 - Departamento 2d2b(3c), Santiago;santiago-metropolitana;departamento;arriendo;Avenida Santa Rosa 1 - 300, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana);P;8 años;42;42;0;0;0;2;2;0;0;2;21;14;0;383000;9119,047619;-33,44804;-70,64487;https://www.portalinmobiliario.com/MLC-1361479508-santa-rosa-237-departamento-2d2b3c-santiago-_JM#position=48&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
48;Sara Del Campo 535 -  Departamento Studio, Santiago;santiago-metropolitana;departamento;arriendo;Sara Del Campo 300 - 600, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana);O;9 años;29;29;0;0;0;1;1;0;0;2;24;20;0;298000;10275,86207;-33,44452;-70,64357;https://www.portalinmobiliario.com/MLC-1479768964-sara-del-campo-535-departamento-studio-santiago-_JM#position=49&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
49;Abdón Cifuentes 150 -  Departamento Studio, Santiago;santiago-metropolitana;departamento;arriendo;Abdón Cifuentes 1 - 300, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana);P;1 años;33;33;0;0;0;1;1;0;0;2;9;24;0;321000;9727,272727;-33,448;-70,6659;https://www.portalinmobiliario.com/MLC-1479766622-abdon-cifuentes-150-departamento-studio-santiago-_JM#position=50&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
50;Santa Elena 2120 -  Departamento 1d1b, Santiago;santiago-metropolitana;departamento;arriendo;Santa Elena 2100 - 2400, San Joaquín, Chile, Santiago, RM (Metropolitana);SO;5 años;36;36;0;0;0;1;1;0;0;2;20;18;0;337000;9361,111111;-33,47358;-70,62613;https://www.portalinmobiliario.com/MLC-1479094980-santa-elena-2120-departamento-1d1b-santiago-_JM#position=1&search_layout=stack&type=item&tracking_id=4451f673-0a7e-4f33-9e20-73ff8bb91726
51;Sara Del Campo 535 -  Departamento 2d2b(4c), Santiago;santiago-metropolitana;departamento;arriendo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;454000;0;28,61141;77,2183;https://www.portalinmobiliario.com/MLC-1479769204-sara-del-campo-535-departamento-2d2b4c-santiago-_JM#position=2&search_layout=stack&type=item&tracking_id=4451f673-0a7e-4f33-9e20-73ff8bb91726
52;Santa Elena 2120 -  Departamento 2d2b(4c), Santiago;santiago-metropolitana;departamento;arriendo;Santa Elena 2100 - 2400, San Joaquín, Chile, Santiago, RM (Metropolitana);NP;5 años;68;68;0;0;0;2;1;0;0;1;12;18;0;558000;8205,882353;-33,47358;-70,62613;https://www.portalinmobiliario.com/MLC-1424598368-santa-elena-2120-departamento-2d2b4c-santiago-_JM#position=3&search_layout=stack&type=item&tracking_id=4451f673-0a7e-4f33-9e20-73ff8bb91726
53;Santa Elena 2120 - Departamento 1d1b(gr), San Joaquín;santiago-metropolitana;departamento;arriendo;Santa Elena 2100 - 2400, San Joaquín, Chile, Santiago, RM (Metropolitana);0;4 años;50;50;0;0;0;1;1;0;0;2;18;12;0;417000;8340;-33,47358;-70,62613;https://www.portalinmobiliario.com/MLC-1369967255-santa-elena-2120-departamento-1d1bgr-san-joaquin-_JM#position=4&search_layout=stack&type=item&tracking_id=4451f673-0a7e-4f33-9e20-73ff8bb91726
54;Morandé 924 -  Departamento 2d2b(3c), Santiago;santiago-metropolitana;departamento;arriendo;Morandé 900 - 1200, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;405000;0;-33,43334;-70,65462;https://www.portalinmobiliario.com/MLC-1318546540-morande-924-departamento-2d2b3c-santiago-_JM#position=5&search_layout=stack&type=item&tracking_id=4451f673-0a7e-4f33-9e20-73ff8bb91726
55;Edificio Sgto. Aldea- Vista Norte Piso 20;santiago-metropolitana;departamento;arriendo;Sgto. Aldea 1156, Parque O'Higgins, Santiago, RM (Metropolitana);Norte;0;34;33;Si;1;3;2;1;1;1;20;26;15;0;390000;11470,58824;-33,46908;-70,66034;https://www.portalinmobiliario.com/MLC-1464951230-edificio-sgto-aldea-vista-norte-piso-20-_JM#position=6&search_layout=stack&type=item&tracking_id=4451f673-0a7e-4f33-9e20-73ff8bb91726
56;Edificio Matucana- Vista Poniente Piso 4;santiago-metropolitana;departamento;arriendo;0;Poniente;0;36,23;33,22;Si;3,01;2;1;1;0;0;4;10;15;0;317000;8749,654982;28,61141;77,2183;https://www.portalinmobiliario.com/MLC-1361498329-edificio-matucana-vista-poniente-piso-4-_JM#position=7&search_layout=stack&type=item&tracking_id=4451f673-0a7e-4f33-9e20-73ff8bb91726
57;Edificio Lord Cochrane- Vista Poniente Piso 8;santiago-metropolitana;departamento;arriendo;Lord Cochrane 220, Bulnes, Santiago, RM (Metropolitana);Poniente;0;30;30;0;0;2;1;1;0;1;8;21;17;0;295000;9833,333333;-33,44933;-70,65477;https://www.portalinmobiliario.com/MLC-1367212913-edificio-lord-cochrane-vista-poniente-piso-8-_JM#position=8&search_layout=stack&type=item&tracking_id=4451f673-0a7e-4f33-9e20-73ff8bb91726
58;Edificio Marin- Vista Norte Piso 5;santiago-metropolitana;departamento;arriendo;Marin 145, Santa Isabel, Santiago, RM (Metropolitana);Norte;0;35;33;Si;2;3;2;2;0;1;5;13;22;0;440000;12571,42857;-33,44787;-70,63406;https://www.portalinmobiliario.com/MLC-1435140010-edificio-marin-vista-norte-piso-5-_JM#position=9&search_layout=stack&type=item&tracking_id=4451f673-0a7e-4f33-9e20-73ff8bb91726
59;Edificio Arturo Prat- Vista Sur Piso 4;santiago-metropolitana;departamento;arriendo;Arturo Prat 1312, Parque O'Higgins, Santiago, RM (Metropolitana);Sur;0;27;27;0;0;2;1;1;0;0;4;17;12;0;300000;11111,11111;-33,44459;-70,65452;https://www.portalinmobiliario.com/MLC-1457678202-edificio-arturo-prat-vista-sur-piso-4-_JM#position=10&search_layout=stack&type=item&tracking_id=4451f673-0a7e-4f33-9e20-73ff8bb91726
