;titulo;region;tipo inmueble;proposito;direccion;orientacion;antiguedad;m2 totales;m2_utiles;terraza;m2_terraza;ambientes;habitaciones;banos;estacionamiento;bodega;piso de apartamento;cantidad de pisos edificio;apartamentos por piso;gastos comunes;precio;precio por m2;latitud;longitud;url
105;A Pasos Playa La Herradura;coquimbo;casa;venta;A Pasos Playa La Herradura, Sindempart, Coquimbo, Coquimbo;S;10 años;200;90;0;0;0;3;2;4;0;0;1;0;40000 ;151593524;757967,62;-29,97825;-71,34886;https://www.portalinmobiliario.com/MLC-1372187593-a-pasos-playa-la-herradura-_JM#position=6&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
106;Casa En Venta De 3 Dorm. En Coquimbo;coquimbo;casa;venta;Entre Talca .aroca Y Blanch, Tierras Blancas, Coquimbo, Coquimbo;Norte;39 años;113;40;0;0;0;3;1;1;0;0;0;0;0 ;47083165;416665,177;-29,96081;-71,26413;https://www.portalinmobiliario.com/MLC-1372884287-casa-en-venta-de-3-dorm-en-coquimbo-_JM#position=7&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
107;Se Vende Casa Grande En Coquimbo Para Negocio (necesita Remo;coquimbo;casa;venta;Raul Marin Balmaceda, Coquimbo, La Herradura, Coquimbo, Coquimbo;0;0;296;0;0;0;0;3;1;1;0;0;0;0;0;130000000;439189,1892;-29,96959;-71,34152;https://www.portalinmobiliario.com/MLC-1532331606-se-vende-casa-grande-en-coquimbo-para-negocio-necesita-remo-_JM#position=8&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
108;Calle Observatorio Valle Del Sol;coquimbo;casa;venta;Calle Observatorio Valle Del Sol, Rinconada, Coquimbo, Coquimbo;S;2018 años;470;100;0;0;0;3;2;10;0;0;1;0;0;160047092;340525,7277;-30,25997;-71,49092;https://www.portalinmobiliario.com/MLC-1373107173-calle-observatorio-valle-del-sol-_JM#position=9&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
109;Gran Oportunidad Casa, Coquimbo;coquimbo;casa;venta;Nvo Tres 964, Coquimbo, Chile, Sindempart, Coquimbo, Coquimbo;0;0;162;162;0;0;0;3;1;2;0;0;1;0;0;119491366;737601,0247;-29,98985;-71,34537;https://www.portalinmobiliario.com/MLC-1527659266-gran-oportunidad-casa-coquimbo-_JM#position=10&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
110;Oportunidad!! Gran Terreno Para Construir Muy Cercano Al Aer;coquimbo;casa;venta;La Florida, La Serena, Coquimbo;0;19 años;5136;144;0;0;0;2;2;0;0;0;0;0;0;641187102;124841,7255;-29,91732;-71,20386;https://www.portalinmobiliario.com/MLC-1373432845-oportunidad-gran-terreno-para-construir-muy-cercano-al-aer-_JM#position=11&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
111;Casa En Venta De 4 Dorm. En La Serena;coquimbo;casa;venta;Estancia El Arrayan Costero, La Serena, Coquimbo;Poniente;0 años;5000;96;0;0;0;4;2;10;0;0;0;0;0 ;95165064;19033,0128;-29,9999;-71,00888;https://www.portalinmobiliario.com/MLC-1373163145-casa-en-venta-de-4-dorm-en-la-serena-_JM#position=12&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
112;Casa En Venta De 5 Dorm. En Coquimbo;coquimbo;casa;venta;Coquimbo, Tierras Blancas, Coquimbo, Coquimbo;-;0 años;154;0;0;0;0;5;3;1;1;0;2;0;0 ;158000000;1025974,026;-29,9618;-71,25616;https://www.portalinmobiliario.com/MLC-1534930158-casa-en-venta-de-5-dorm-en-coquimbo-_JM#position=13&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
113;Se Vende Linda Y Amplia Casa Con O Sin Amoblar En  Coquimb0;coquimbo;casa;venta;Pasaje Luis Román Pizarro, Coquimbo, Chile, Sindempart, Coquimbo, Coquimbo;0;0;188;84;0;0;0;3;2;3;0;0;2;0;0;160000000;851063,8298;-29,98009;-71,3458;https://www.portalinmobiliario.com/MLC-1524705684-se-vende-linda-y-amplia-casa-con-o-sin-amoblar-en-coquimb0-_JM#position=14&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
114;Hermosa Casa Esquina En Ovalle;coquimbo;casa;venta;Mario Ramirez, el mirador, Ovalle, Coquimbo;0;0;120;38;0;0;0;2;1;2;0;0;0;0;0;62000000;516666,6667;-30,61779;-71,22348;https://www.portalinmobiliario.com/MLC-1532281184-hermosa-casa-esquina-en-ovalle-_JM#position=15&search_layout=stack&type=item&tracking_id=6060f90b-ec36-4133-a8a4-3099cd2679a9
